episode,reward,epsilon_start,epsilon_end,mean_loss
1,0.7114833333333334,1.0,0.9998385,nan
2,-1.0097200000000002,0.999829,0.9993635,nan
3,-1.1372000000000002,0.999354,0.9988885,nan
4,-1.0355099999999997,0.998879,0.9984135,nan
5,-1.12665,0.998404,0.9979385,nan
6,-1.0074499999999997,0.997929,0.9974635,nan
7,-1.1422199999999998,0.997454,0.9969885,nan
8,-0.9836900000000002,0.996979,0.9965135,nan
9,-1.2151799999999997,0.996504,0.9960385,nan
10,-1.0418799999999997,0.996029,0.9955635,nan
11,-1.0216899999999998,0.995554,0.9950885,nan
12,-1.0359199999999997,0.995079,0.9946135,nan
13,-1.15627,0.994604,0.9941385,nan
14,-1.0835899999999996,0.994129,0.9936635,nan
15,-1.1466799999999997,0.993654,0.9931885,nan
16,-1.1121100000000002,0.993179,0.9927135,nan
17,-1.0997599999999998,0.992704,0.9922385,nan
18,-1.0978299999999996,0.992229,0.9917635,nan
19,-1.0647099999999998,0.991754,0.9912885,nan
20,-1.1050200000000003,0.991279,0.9908135,nan
21,-1.16821,0.990804,0.9903385,nan
22,-1.04536,0.990329,0.9898635,nan
23,-1.1069,0.989854,0.9893885,nan
24,-1.0485,0.989379,0.9889135,nan
25,-0.9980700000000001,0.988904,0.9884385,nan
26,-1.1067900000000002,0.988429,0.9879635,nan
27,-1.17207,0.987954,0.9874885,nan
28,-0.9949000000000001,0.987479,0.9870135,nan
29,-1.08009,0.987004,0.9865385,nan
30,-1.2486899999999999,0.986529,0.9860635,nan
31,-1.0886299999999998,0.986054,0.9855885,nan
32,-1.0384299999999997,0.985579,0.9851135,nan
33,-1.1505199999999995,0.985104,0.9846385,nan
34,-1.07662,0.984629,0.9841635,nan
35,-0.9866099999999998,0.984154,0.9836885,nan
36,-1.1482799999999997,0.983679,0.9832135,nan
37,-1.0798599999999996,0.983204,0.9827385,nan
38,-1.1040699999999997,0.982729,0.9822635,nan
39,-1.1812599999999998,0.982254,0.9817885,nan
40,-1.07934,0.981779,0.9813135,nan
41,-1.07797,0.981304,0.9808385,nan
42,-1.1008699999999998,0.980829,0.9803634999999999,nan
43,-0.8965700000000001,0.980354,0.9798885,nan
44,-1.0595499999999998,0.979879,0.9794135,nan
45,-1.15018,0.979404,0.9789385,nan
46,-1.1493599999999997,0.978929,0.9784635,nan
47,-1.0441799999999994,0.978454,0.9779885,nan
48,-1.0693300000000001,0.977979,0.9775135,nan
49,-1.0429499999999998,0.977504,0.9770385,nan
50,-1.10048,0.977029,0.9765635,nan
51,-1.09143,0.976554,0.9760885,nan
52,-1.01692,0.976079,0.9756135,nan
53,-1.05252,0.975604,0.9751385,nan
54,-1.1656499999999996,0.975129,0.9746635,nan
55,-1.1481999999999999,0.974654,0.9741885,nan
56,-1.19041,0.974179,0.9737135,nan
57,-0.9884199999999999,0.973704,0.9732385,nan
58,-1.13717,0.973229,0.9727635,nan
59,-1.1550099999999999,0.972754,0.9722885,nan
